datum,t,T (°C),J,N (mm/d),ETP,Re
20030401,71,7.1,91,0.0,1.4196917807403133,28.745825312510483
20030402,62,6.2,92,5.5,1.3270580888093872,29.029395692705346
20030403,74,7.4,93,0.9,1.483528786793211,29.311657480994896
20030404,76,7.6,94,0.0,1.5219009135856152,29.592517764164743
20030405,60,6.0,95,1.3,1.3411866677113153,29.871884871752023
20030406,44,4.4,96,0.8,1.1567627882577325,30.14966841735579
20030407,-10,-1.0,97,0.0,0.4967474177456419,30.42577933692057
20030408,25,2.5,98,0.0,0.9397998956317511,30.700129923970536
20030409,23,2.3,99,0.0,0.9228580701673633,30.972633861781375
20030410,46,4.6,100,5.4,1.2242235919341764,31.243206252486797
20030411,49,4.9,101,0.1,1.2733324900691712,31.511763643125953
20030412,36,3.6,102,4.8,1.115480517626014,31.77822404864808
20030413,103,10.3,103,0.0,2.0010218639594926,32.04250697190037
20030414,87,8.7,104,0.0,1.8064167667864874,32.304533420634264
20030415,110,11.0,105,0.0,2.1266433254906314,32.56422592157529
20030416,126,12.6,106,0.0,2.3577900006381562,32.8215085316107
20030417,119,11.9,107,0.0,2.28159014571459,33.07630684615827
20030418,103,10.3,108,0.3,2.081333814176606,33.328548004788786
20030419,102,10.2,109,0.0,2.0832165002105514,33.57816069418323
20030420,113,11.3,110,0.0,2.2504029588603394,33.8250751485143
20030421,122,12.2,111,0.0,2.391798522997619,34.06922314734981
20030422,131,13.1,112,0.0,2.5347785224588786,34.310538011183716
20030423,126,12.6,113,1.1,2.481884085170804,34.54895459470722
20030424,118,11.8,114,0.0,2.385216636201602,34.78440927794003
20030425,128,12.8,115,0.0,2.5440806171640578,35.01683995534799
20030426,160,16.0,116,4.1,3.0211016591210917,35.2461860230794
20030427,166,16.6,117,0.2,3.1273615864175026,35.472388364457785
20030428,149,14.9,118,0.0,2.8993397867105783,35.69538933387396
20030429,198,19.8,119,0.0,3.635490987480669,35.915132739224354
20030430,179,17.9,120,0.1,3.3771951491745376,36.13156382304637
20030501,177,17.7,121,0.3,3.367441158387156,36.34462924250455
20030502,184,18.4,122,0.0,3.491306460947683,36.55427704838386
20030503,187,18.7,123,0.1,3.5560115221182333,36.76045666324756
20030504,136,13.6,124,0.0,2.8061796358199547,36.963118858918754
20030505,166,16.6,125,0.0,3.276342285070987,37.162215733444064
20030506,209,20.9,126,0.0,3.9492426441280575,37.35770068769785
20030507,213,21.3,127,0.0,4.0308269263955365,37.54952840178351
20030508,221,22.1,128,0.0,4.174246715871722,37.73765481138642
20030509,222,22.2,129,0.0,4.210120035473662,37.922037084229686
20030510,192,19.2,130,4.0,3.7636070736411487,38.10263359678023
20030511,195,19.5,131,0.0,3.827940391134772,38.27940391134772
